Question|Answer
What is your company name and contact information|Supplier’s Name: Richard Construction, Inc.__Address: 13969 Highway 90 West__City, State, Zip: Beaumont, Texas 77713__Phone Number: (409) 434.4880__Fax Number: (409) 434.4924__Main Contact: Lloyd James - Executive Vice President Operations__Contact’s Phone number: (409) 434-4892__Contact’s Email address: Van.Wilson@RichardEPC.com__Supplier’s Website Address: www.richardepccom
What is your tax id?|Fed. Tax ID# 20-4181369
When was your company founded|1/23/2006
How long has your company been in business|19
Can you provide a description of the services that your company provides|At RCI, we specialize in construction services for the petrochemical, chemical, and petroleum refining industries. Backed by an experienced, safety-driven workforce, we manage all phases of construction—from planning to execution—while self-performing critical disciplines to ensure higher levels of quality, control, and accountability.__Our direct-hire capabilities include:__•	Piping & Structural Steel Fabrication and Erection__•	Architectural Construction__•	Electrical & Instrumentation (E&I)__•	Painting, Scaffolding, and Insulation__As part of our integrated project delivery model, we partner closely with our affiliated company, Richard Design Services, Inc., a full-service engineering firm. Together, we provide seamless EPC (Engineering, Procurement, and Construction) services under one umbrella—simplifying project management and accelerating timelines.
What is your banking information?|Stellar Bank__5999 Delaware St Beaumont, Texas 77706__Wendell Meaux____Line of Credit is 12MM__Bonding Capacity is 250+MM
Type of Corporate Legal Entity|corporation
State of Company formation/corporation|Texas
Date of company formation?|1/23/2006
If corporation, what type?|S Corporation
Contact Person and Title|Thad Champagne - Proposals
Annual Sales Volume (last 3 years)|2024 $215MM   2023 $254MM  2022 $214MM
What is your average sales revenue?|2024 $215MM   2023 $254MM  2022 $214MM
Which states are you licensed in?|Alabama, Arizona, Arkansas, Delaware, Idaho, Iowa, Louisiana, Michigan, Mississippi, Nevada, New Mexico, North Dakota, South Carolina, Tenneessee, Utah, and Wyoming
Dun & Bradstreet Number|78-013-5012
How is the majority of your work performed?|Fixed Price
Average number of employees for the past 3 years|2024- 760   2023-735    2022-810
Do you have union labor?|No
Does your company have a written Safety, Health, and Environment Program?|Yes
Is your company a current member of ISNetworld? And what is the company ID?|Yes   and ISNETWORLD # 400-131855
Contact for Insurance Information|Annette Stratton  409-403-8473
Insurance Carriers|Multiple Carriers - Greenwich XL
Are you self insured for Workers Compensation Insurance?|No
Major Jobs Completed within the last 3 years|1. FFPO Bayou Choctaw    Demo & Installation of Piperacks and Mechanical Equipment  $137,543,396  Laura Robertson 2. Valero Boiler Port Arthur Demo and Install New Boiler  $8,338,366 Tom Laven  3. Valero SAF Port Arthur  New Construction SAF Unit $28,937,268 Will Tawney
Highest ranking safety/health professional in the company?|Dustin Rowe - Director of Safety and Health
Do you have a written Safety and Health Program?|Yes
Does the program address the following key elements?|Yes
Management commitment and expectations|Yes
Employee Participation|Yes
Accountabilities and responsibilities for managers, supervisors, and employees?|Yes
Resources for meeting safety and health requirements?|Yes
Periodic safety and health performance appraisals for all employees?|Yes
Safety recognition program?|Yes
Hazard recognition and control?|Yes
Does the program satisfy your responsibility under the law for 1. Ensuring your employees follow the safety rules of the facility? 2. Advising owner of any unique hazards presented by the contractor's work, and of any hazards found by the contractor?|Yes
Does your company have a formal QA/QC department?|Yes
Do you have a written quality policy?|Yes
Do you have a written QA/QC plan?|Yes
Indicate how you train company personnel in the QA/QC program requirements?|Quality manual review, Inspection Test Plans and pRoject Specifici Quality Plans for guidance
Indicate your training and certification program for inspectors|Industry recognized qualifications in accordance with AWS and API
Do you operate a formal review? Audit your QA/QC program?|Yes
How are findings identified, documented, and resolved?|All findings are listed in a report from the Audit team and corrective actions are developed and processes are revised when necessary.
Do you qualify your lower tier subcontractors?|Yes
If yes, how?|Review of Quality Manual
Do you subcontract any inspection services?|NDE, PT, MT, RT, UT
Lower Tier Subcontractors|HMT LLC, Deep South, Ramtex, Precision Inspection
What computerized scheduling program do you utilize?|P6
Who is responsible for reporting weekly progress and how is this accomplished?|Weekly Report Template using Ruels fo Credit per discipline
Where do you normally perform your scheduling, on site or at the office?|Both, on site and at the office
Trade Credit References|Troop Industrial and Groves Equipment
