Index,Indx Code,Grp,Short Desc,Orig,Size1,Size2,Desc,Size1 Dec,Size2 Dec
1,37,MISC,ROUND BAR,.1" THRD ROUND PLUG A105 CS,.1",,THRD ROUND PLUG A105 CS,0.1,0
2,76,TUBING,TUBING,.25" .035 WALL TP316 WLD OR SMLS AUSTENTIC TUBING A269,.25",,.035 WALL TP316 WLD OR SMLS AUSTENTIC TUBING A269,0.25,0
3,74,TUBING,TUBE-FTG-ADAPTER,.25" FEMALE CPI x .25" MNPT ADAPTER 316SS,.25",,FEMALE CPI x .25" MNPT ADAPTER 316SS,0.25,0
4,64,SUPT,PLATE,.25" THICK x 1" WIDE x 3'" LONG 304/304L PLATE,.25",,THICK x 1" WIDE x 3'" LONG 304/304L PLATE,0.25,0
5,64,SUPT,PLATE,.25" THICK x 19.5" WIDE x 3'-11 3/8" LONG 304/304L PLATE,.25",,THICK x 19.5" WIDE x 3'-11 3/8" LONG 304/304L PLATE,0.25,0
6,64,SUPT,PLATE,.25" THICK x 29 11/16" WIDE x 3'-11 3/8" LONG 304/304L PLATE,.25",,THICK x 29 11/16" WIDE x 3'-11 3/8" LONG 304/304L PLATE,0.25,0
7,37,MISC,ROUND BAR,.25" x 4" WIDE ALLOY C276 FLAT BAR,.25",4",WIDE ALLOY C276 FLAT BAR,0.25,4
8,46,PIP,PIPE,.25" x 60° x 12" LONG WEAR PAD FOR 6" PIPE,.25",,x 60° x 12" LONG WEAR PAD FOR 6" PIPE,0.25,0
9,76,TUBING,TUBING,.5" .035 WALL TP316 WLD OR SMLS AUSTENTIC TUBING A269,.5",,.035 WALL TP316 WLD OR SMLS AUSTENTIC TUBING A269,0.5,0
10,14,FLG,FLANGE-SW,.5" 150# RFSW FLANGE A105 CS S/160 BORE,.5",,150# RFSW FLANGE A105 CS S/160 BORE,0.5,0
11,14,FLG,FLANGE-SW,.5" 150# RFSW FLANGE A182-F316/316L SS S/80s BORE,.5",,150# RFSW FLANGE A182-F316/316L SS S/80s BORE,0.5,0
12,16,FLG,FLANGE-WN,.5" 150# RFWN FLANGE A182-F304/304L SS S/40s BORE,.5",,150# RFWN FLANGE A182-F304/304L SS S/40s BORE,0.5,0
13,16,FLG,FLANGE-WN,.5" 150# RFWN FLANGE A182-F316/316L SS S/10s BORE,.5",,150# RFWN FLANGE A182-F316/316L SS S/10s BORE,0.5,0
14,16,FLG,FLANGE-WN,.5" 150# RFWN FLANGE S/40s BORE A182-F316/316L DUAL GRADE,.5",,150# RFWN FLANGE S/40s BORE A182-F316/316L DUAL GRADE,0.5,0
15,14,FLG,FLANGE-SW,.5" 1500# RFSW FLANGE A182-F316/316L SS S/80s BORE DUAL STAMPED,.5",,1500# RFSW FLANGE A182-F316/316L SS S/80s BORE DUAL STAMPED,0.5,0
16,16,FLG,FLANGE-WN,.5" 1500# RTJWN A182-F51 DUPLEX SS UNS-S31803 OR UNS-S32205 S/XS BORE (R12),.5",,1500# RTJWN A182-F51 DUPLEX SS UNS-S31803 OR UNS-S32205 S/XS BORE (R12),0.5,0
17,18,FTG,90D EL,.5" 2000# THRD 90D ELL 316/316L SS DUAL MARKED,.5",,2000# THRD 90D ELL 316/316L SS DUAL MARKED,0.5,0
18,3,B_G,GASKET-RING-OVAL-TYPE,.5" 300# R12 316SST RING, OVAL PREFERED /OCTAGONAL OPTIONAL,.5",,300# R12 316SST RING, OVAL PREFERED /OCTAGONAL OPTIONAL,0.5,0
19,16,FLG,FLANGE-WN,.5" 300# RFWN FLANGE A182-F316/316L SS S/40s BORE DUAL GRADE,.5",,300# RFWN FLANGE A182-F316/316L SS S/40s BORE DUAL GRADE,0.5,0
20,18,FTG,90D EL,.5" 3000# SW 90D ELL A105 CS,.5",,3000# SW 90D ELL A105 CS,0.5,0
21,34,FTG,UNION,.5" 3000# SW UNION A105 CS ,.5",,3000# SW UNION A105 CS,0.5,0
22,21,FTG,COUPLING,.5" 3000# SWxTHRD COUPLING 316/316L SS,.5",,3000# SWxTHRD COUPLING 316/316L SS,0.5,0
23,21,FTG,COUPLING,.5" 3000# SWxTHRD HALF COUPLING 316/316L SS,.5",,3000# SWxTHRD HALF COUPLING 316/316L SS,0.5,0
24,18,FTG,90D EL,.5" 3000# THRD 90D ELL A105 CS,.5",,3000# THRD 90D ELL A105 CS,0.5,0
25,20,FTG,CAP,.5" 3000# THRD CAP A105 CS,.5",,3000# THRD CAP A105 CS,0.5,0
26,21,FTG,COUPLING,.5" 3000# THRD COUPLING A105 CS,.5",,3000# THRD COUPLING A105 CS,0.5,0
27,21,FTG,COUPLING,.5" 6000# THRD COUPLING 304/304L SS,.5",,6000# THRD COUPLING 304/304L SS,0.5,0
28,32,FTG,TEE,.5" 6000# THRD TEE A105 CS,.5",,6000# THRD TEE A105 CS,0.5,0
29,74,TUBING,TUBE-FTG-ADAPTER,.5" FNPT x .5" TUBING ADAPTER 316SS,.5",,FNPT x .5" TUBING ADAPTER 316SS,0.5,0
30,18,FTG,90D EL,.5" LR 90D ELL A403-WP304/304L S/40s SEAMLESS SS,.5",,LR 90D ELL A403-WP304/304L S/40s SEAMLESS SS,0.5,0
31,74,TUBING,TUBE-FTG-ADAPTER,.5" MNPT x .75" FEMALE TUBE TUBING CONNECTOR 316SS,.5",,MNPT x .75" FEMALE TUBE TUBING CONNECTOR 316SS,0.5,0
32,74,TUBING,TUBE-FTG-ADAPTER,.5" MNPT x 3/8" FEMALE TUBE TUBING CONNECTOR 316SS,.5",,MNPT x 3/8" FEMALE TUBE TUBING CONNECTOR 316SS,0.5,0
33,35,INSTR,PRESSURE INDICATOR,.5" NPT ASHCROFT PRESSURE GAUGE 4.5" DIAL BOTTOM INLET 0-300 PSI RANGE,.5",,NPT ASHCROFT PRESSURE GAUGE 4.5" DIAL BOTTOM INLET 0-300 PSI RANGE,0.5,0
34,32,FTG,TEE,.5" PARKER TYPE TEE 316SS FLARELESS,.5",,PARKER TYPE TEE 316SS FLARELESS,0.5,0
35,37,MISC,ROUND BAR,.5" ROUND BARSTOCK PLUG A105 CS,.5",,ROUND BARSTOCK PLUG A105 CS,0.5,0
36,37,MISC,ROUND BAR,.5" ROUND SW PLUG 304/304L SS,.5",,ROUND SW PLUG 304/304L SS,0.5,0
37,37,MISC,ROUND BAR,.5" ROUND SW PLUG A105 CS,.5",,ROUND SW PLUG A105 CS,0.5,0
38,46,PIP,PIPE,.5" S/10S A312-TP316/316L SEAMLESS PIPE,.5",,S/10S A312-TP316/316L SEAMLESS PIPE,0.5,0
39,46,PIP,PIPE,.5" S/160 BORE A106B SMLS CS PIPE,.5",,S/160 BORE A106B SMLS CS PIPE,0.5,0
